,Protein Accession,Length,PE Score,#Confirmed Isoforms,In Reference Proteome
77865,F6PXC7,1993,3,0,1
77866,A0A5G2R1Q9,646,4,0,1
77867,A0A4X1VA07,1502,3,0,0
77868,A0A287B3M6,320,3,0,1
77869,A0A480ZXD0,550,4,0,0
77870,A0A5G2QBQ5,563,4,0,1
77871,A0A4X1T136,1517,3,0,0
77872,A0A4X1W4M5,1643,3,0,0
77873,A0A4X1TXP0,1084,4,0,0
77874,A0A4X1T6D8,379,4,0,0
77875,A0A5G2QXJ6,711,3,0,1
77876,A0A5G2QQV3,166,4,0,1
77877,A0A4X1TJG3,1038,4,0,0
77878,F1SMR4,1266,4,0,1
77879,F2Q9B8,481,2,0,0
77880,A0A4X1TBI3,464,4,0,0
77881,A0A4X1TAJ3,2224,4,0,0
77882,A0A4X1T3G3,1222,3,0,0
77883,A0A4X1TC12,902,4,0,0
77884,F1RKC9,353,1,0,1
77885,A0A287AKI1,1375,4,0,1
77886,A0A4X1VYG8,1340,4,0,0
77887,A0A4X1W464,1307,4,0,0
77888,A0A5G2QB60,183,3,0,1
77889,A0A5G2RC82,216,4,0,1
77890,A0A5G2R119,848,1,0,1
77891,Q29171,77,2,0,0
77892,A0A4X1TN30,247,4,0,0
77893,A0A4X1TFI9,379,3,0,0
77894,A0A287A7J6,1186,4,0,1
77895,D2I970,891,2,0,0
77896,K7GLN3,285,4,0,1
77897,A0A4X1UDJ1,632,4,0,0
77898,A0A4X1UHX3,296,3,0,0
77899,A0A4X1V0C8,156,3,0,0
77900,A0A287B190,1150,3,0,1
77901,I3LA65,1045,4,0,1
77902,A0A287A1U4,1146,1,0,1
77903,A0A287A409,624,1,0,1
77904,A0A287AIR8,1387,1,0,1
77905,A0A287AG81,242,1,0,1
77906,A0A287BNE7,420,4,0,1
77907,A0A287B662,727,3,0,1
77908,A0A287AYW7,501,1,0,1
77909,A0A4X1UV99,1083,3,0,0
77910,A7J0B3,122,4,0,0
77911,A0A287BBX1,541,4,0,1
77912,A0A4X1U7G3,3761,4,0,0
77913,B5G570,47,4,0,0
77914,A0A4X1UFQ9,286,3,0,0
77915,A0A4X1UC71,979,3,0,0
77916,A0A4X1WDR2,281,3,0,0
77917,A0A5G2QWV7,108,4,0,1
77918,F1RYA1,346,1,0,1
77919,A0A287BKI2,623,4,0,1
77920,A0A287B7E7,438,4,0,1
77921,A0A287AC11,323,1,0,1
77922,A0A287BG27,159,1,0,1
77923,A0A4X1W1L5,747,4,0,0
77924,A0A4X1SWG4,1215,4,0,0
77925,F1RW08,730,1,0,1
77926,A0A286ZT20,478,1,0,1
77927,A0A4X1TC83,502,3,0,0
77928,F1SV23,106,1,0,1
77929,A0A5G2QEV1,680,4,0,1
77930,A0A286ZXB6,1306,1,0,1
77931,F1SHX0,6665,1,0,1
77932,I3LF91,755,3,0,1
77933,F1RP44,988,1,0,1
77934,A0A4X1ULE1,879,4,0,0
77935,A0A5G2R659,313,4,0,1
77936,Q5MAJ1,198,3,0,0
77937,F1SNX3,435,1,0,1
77938,A0A286ZY14,216,4,0,1
77939,A0A287A1T6,1737,1,0,1
77940,A0A4X1VWP5,180,3,0,0
77941,A0A2Z0LXI0,361,2,0,0
77942,A0A5G2RBB7,215,1,0,1
77943,A0A4X1U081,1223,4,0,0
77944,A0A5G2QEE2,749,4,0,1
77945,A0A287AD28,225,1,0,1
77946,A0A5G2QEL5,748,1,0,1
77947,A0A5G2R7L8,312,3,0,1
77948,A0A287A4R9,1994,1,0,1
77949,A0A5G2QRE6,217,1,0,1
77950,A0A4X1VD31,512,4,0,0
77951,A0A287AUD2,711,4,0,1
77952,F1RGQ3,237,3,0,1
77953,A0A4X1V5J9,179,4,0,0
77954,A0A4X1T050,735,3,0,0
77955,A0A287AIZ1,400,4,0,1
77956,A0A5G2QQH5,1065,4,0,1
77957,A0A4X1T6K5,392,3,0,0
77958,A0A4X1W3T9,318,3,0,0
77959,A0A4X1U8B2,1953,3,0,0
77960,A0A5G2R5A2,852,4,0,1
77961,A0A4X1TQM3,1392,3,0,0
77962,A0A5G2RAR7,710,1,0,1
77963,A5GFM8,137,4,0,0
77964,A0A287B7S4,300,3,0,1
77965,A0A286ZXV8,215,4,0,1
77966,A0A4X1VWX1,642,4,0,0
77967,A0A5G2QZC2,475,1,0,1
77968,A0A4X1SFG7,1013,4,0,0
77969,A0A4X1TXI5,409,3,0,0
77970,A0A287BBV9,369,1,0,1
77971,A0A4X1TQ60,945,3,0,0
77972,A0A286ZRB3,130,1,0,1
77973,A0A4X1SI38,443,4,0,0
77974,A0A4X1T9C7,704,3,0,0
77975,F1SQ55,486,1,0,1
77976,Q9GMA6,415,3,0,0
77977,A0A4X1VRF8,965,3,0,0
77978,A0A286ZNA7,754,1,0,1
77979,A0A4X1SI79,302,4,0,0
77980,A0A4X1SID7,630,4,0,0
77981,A0A287BR07,1438,4,0,1
77982,A0A4X1TQA6,563,3,0,0
77983,F1RHT9,794,3,0,1
77984,I3L7R7,309,1,0,1
77985,A0A4X1UDX9,171,3,0,0
77986,A0A287BF84,1106,4,0,1
77987,A0A4X1VQW9,657,4,0,0
77988,F1RUS4,368,4,0,1
77989,F1S1M8,1008,3,0,1
77990,A0A4X1SQZ6,1074,4,0,0
77991,F1RN41,536,1,0,1
77992,A0A5G2QPV8,169,3,0,1
77993,A0A4X1SWG6,665,3,0,0
77994,A0A4X1SQS0,274,3,0,0
77995,A0A5G2R5N8,2427,1,0,1
77996,F1RGH8,566,1,0,1
77997,I3LDA6,272,3,0,1
77998,A0A4X1TAZ9,474,3,0,0
77999,I3LVG0,364,1,0,1
78000,A0A5G2RDV9,482,3,0,1
78001,A0A5G2R489,334,1,0,1
78002,A0A287A2Y7,1989,3,0,1
78003,F1SEZ2,182,3,0,1
78004,F1SHE9,481,4,0,0
78005,A0A4X1U8Y6,1038,3,0,0
78006,A5A5A6,386,2,0,0
78007,A0A4X1UXW6,1434,4,0,0
78008,A0A286ZTI9,347,3,0,1
78009,A0A4X1UKW9,979,4,0,0
78010,A0A4X1TQW4,1149,3,0,0
78011,Q1HBH5,459,3,0,0
78012,A0A287BL30,538,4,0,1
78013,A0A287BHD8,340,4,0,1
78014,A0A287BMA9,238,4,0,1
78015,A0A4X1TPH6,694,3,0,0
78016,A0A4X1W0H2,144,3,0,0
78017,A0A286ZQA1,1411,4,0,1
78018,A0A4X1VNQ0,342,3,0,0
78019,A0A4X1UH77,512,4,0,0
78020,A0A4X1UQN0,1102,3,0,0
78021,F1SB05,727,4,0,1
78022,A0A5G2Q9M4,897,3,0,1
78023,F1RVD2,312,1,0,1
78024,A0A4X1SYJ6,773,3,0,0
78025,A0A287AYJ9,2864,1,0,1
78026,A0A5G2QIN5,719,1,0,1
78027,A0A5G2R1T9,701,4,0,1
78028,A0A5G2QT87,1377,1,0,1
78029,F1SMM0,1000,1,0,1
78030,A0A5G2QX61,537,1,0,1
78031,A0A4X1SR33,1163,4,0,0
78032,I3LDW9,92,3,0,1
78033,A0A4X1THN5,304,4,0,0
78034,M3VK09,2032,2,0,0
78035,A0A5G2R6U1,138,4,0,1
78036,I3LG91,266,1,0,1
78037,A0A5G2RFU5,645,3,0,1
78038,A0A4X1W7X8,953,3,0,0
78039,F2Z5T8,225,1,0,1
78040,A0A4X1TUW9,602,4,0,0
78041,I3LUK3,1303,4,0,1
78042,A0A4X1VWG7,588,4,0,0
78043,F1SC04,810,4,0,1
78044,E0AD96,799,2,0,0
78045,A0A4X1UQY8,736,4,0,0
78046,K7GMW4,721,1,0,1
78047,A0A5G2QIK5,868,4,0,1
78048,I3L890,568,4,0,1
78049,A0A5G2RDF8,622,3,0,1
78050,A0A287B7S0,285,4,0,1
78051,Q0MS00,361,2,0,0
78052,A0A4X1W2G1,330,4,0,0
78053,A0A287BJ85,589,1,0,1
78054,A0A4X1UTI9,570,3,0,0
78055,A0A4X1UXV6,663,4,0,0
78056,A0A4X1T226,2045,3,0,0
78057,A0A286ZQK5,554,3,0,1
78058,A0A5G2QXG3,372,1,0,1
78059,A0A4X1WB57,498,4,0,0
78060,A0A4X1U871,655,3,0,0
78061,F1SNB6,131,3,0,1
78062,A0A4X1VVC1,1130,4,0,0
78063,A0A4X1SPG2,565,4,0,0
78064,A0A4X1VBL6,1123,4,0,0
78065,K7GLX4,1295,3,0,1
78066,A0A287AWK4,445,1,0,1
78067,A0A4X1VWH1,276,4,0,0
78068,A0A4X1UAZ1,241,4,0,0
78069,A8KEL1,379,3,0,0
78070,A0A5K1UJ50,1199,3,0,1
78071,F1RY78,232,3,0,1
78072,A0A4X1V8M7,357,3,0,0
78073,A0A5G2R943,346,1,0,1
78074,A0A4X1VI59,590,3,0,0
78075,A0A4X1VG38,528,4,0,0
78076,A0A4X1TNS8,361,4,0,0
78077,A0A480LSV0,1058,4,0,0
78078,A0A4X1SIL6,2425,4,0,0
78079,A0A4X1SL89,348,3,0,0
78080,A0A4X1TE28,578,3,0,0
78081,A0A4X1W8W8,404,4,0,0
78082,A0A5G2QPC9,277,4,0,1
78083,A0A5G2R9A9,181,1,0,1
78084,A0A5G2QTY4,662,1,0,1
78085,A0A4X1UVE0,621,4,0,0
78086,A0A287AFV8,1210,4,0,1
78087,C7FE66,606,3,0,0
78088,A0A287BSG9,1708,1,0,1
78089,Q4TTV6,1610,2,0,0
78090,A0A480M5S2,1047,3,0,0
78091,A0A4X1UH61,1885,4,0,0
78092,A0A4X1UK54,1173,4,0,0
78093,A0A5G2QBY7,190,4,0,1
78094,B6DT14,683,2,0,0
78095,A0A5G2R1H6,858,3,0,1
78096,A0A4X1W128,965,4,0,0
78097,A0A5G2R695,246,4,0,1
78098,Q8WN88,594,4,0,0
78099,A0A4X1W4S0,629,3,0,0
78100,A0A4X1W2K8,1167,3,0,0
78101,F1SG44,339,3,0,1
78102,A0A5G2R6F8,303,1,0,1
78103,A0A4X1W533,2039,4,0,0
78104,A0A4X1UT66,316,4,0,0
78105,A0A4X1UYD5,1140,4,0,0
78106,A0A287AVA1,379,3,0,1
78107,A0A287ABR7,618,1,0,1
78108,A0A4X1VYB7,571,4,0,0
78109,A0A4X1SPL4,945,4,0,0
78110,D2D0E2,658,3,0,0
78111,I3LG66,1020,3,0,1
78112,A0A287BC86,930,4,0,1
78113,I3LNS8,447,1,0,1
78114,A0A4X1T376,421,4,0,0
78115,A0A5G2R5E7,562,1,0,1
78116,F1SB98,503,3,0,1
78117,A0A287AQU1,1009,3,0,1
78118,A0A4X1TDX4,3299,4,0,0
78119,A0A287B5J2,1233,1,0,1
78120,A0A4X1UXM9,453,3,0,0
78121,F1SCI5,405,4,0,1
78122,A0A5G2R6T1,740,4,0,1
78123,A0A287B7U5,1170,1,0,1
78124,A0A287B982,262,1,0,1
78125,A0A287BJZ2,846,1,0,1
78126,A0A4X1U1D3,357,3,0,0
78127,A0A4X1SVR4,1838,4,0,0
78128,I3LIC8,967,1,0,1
78129,A0A5G2QJI7,704,1,0,1
78130,A0A286ZMH1,337,3,0,1
78131,A0A5G2QET6,624,3,0,1
78132,A0A481CPX2,343,3,0,0
78133,Q6EKW3,134,2,0,0
78134,A0A5S6G3W0,185,3,0,1
78135,A0A5G2R2Q0,338,1,0,1
78136,A0A4X1TSW5,792,4,0,0
78137,I3LPA0,552,4,0,1
78138,A0A4X1SQE5,490,3,0,0
78139,A0A4X1UK94,813,4,0,0
78140,A0A4X1SX18,820,4,0,0
78141,A0A287ANQ4,963,1,0,1
78142,A0A4X1VZQ0,532,4,0,0
78143,A0A4X1VWW4,7493,4,0,0
78144,A0A287B642,590,1,0,1
78145,A0A287AHT4,1239,4,0,1
78146,A0A4X1TI66,766,4,0,0
78147,K7GN17,319,1,0,1
78148,A0A5G2QEF4,736,1,0,1
78149,A0A287BPD6,750,1,0,1
78150,A0A5G2RDG4,209,1,0,1
78151,A0A4X1UKL8,382,4,0,0
78152,A0A5G2QFG8,343,1,0,1
78153,A0A5G2RBZ9,540,3,0,1
78154,A0A287B4Z3,1028,3,0,1
78155,I3L7Q8,597,4,0,1
78156,A0A4X1W4R8,457,3,0,0
78157,A0A287AHS5,978,4,0,1
78158,A0A287BLD1,1332,4,0,1
78159,A0A287A913,4977,4,0,1
78160,A0A287AWE7,4920,4,0,1
78161,A0A5G2QPU7,595,4,0,1
78162,A0A4X1SRF8,636,4,0,0
78163,A0A287BBZ3,749,3,0,1
78164,A0A4X1SUH0,356,4,0,0
78165,A0A4X1V7P0,833,3,0,0
78166,A0A4X1VC12,1050,3,0,0
78167,A0A4X1UHR8,825,4,0,0
78168,Q6PU47,99,2,0,0
78169,A0A4X1VW98,176,3,0,0
78170,F1S6Q3,1163,1,0,1
78171,A0A4X1SYY6,1078,4,0,0
78172,A0A4X1VC95,851,4,0,0
78173,A0A4X1W631,179,3,0,0
78174,Q6UVK3,65,3,0,0
78175,A0A4X1TSA5,1164,3,0,0
78176,A0A4X1V4W2,1682,3,0,0
78177,A0A4X1VKC2,1515,3,0,0
78178,A0A5G2QNX6,391,3,0,1
78179,A0A287ASH1,585,3,0,1
78180,A0A286ZYZ1,1552,4,0,1
78181,I3L648,304,1,0,1
78182,A0A4X1VA33,470,3,0,0
78183,A0A4X1T7V5,474,3,0,0
78184,A0A2L0NG64,232,3,0,0
78185,A0A4X1SKI8,1087,4,0,0
78186,A0A5G2QVP2,709,1,0,1
78187,A0A4X1SWV4,614,3,0,0
78188,I3L6P0,458,4,0,1
78189,A0A287AJ28,282,4,0,1
78190,I3L8G0,317,3,0,1
78191,A0A4X1UH57,1057,4,0,0
78192,A0A4X1V4E8,823,3,0,0
78193,A0A4X1SUF5,1239,4,0,0
78194,Q38Q18,250,2,0,0
78195,A0A286ZRD5,118,3,0,1
78196,A0A4X1TSP6,788,4,0,0
78197,A0A4X1SJB6,952,4,0,0
78198,A0A4X1SYW5,447,3,0,0
78199,F1SH48,192,3,0,1
78200,A0A5G2QLC0,112,4,0,1
78201,A0A4X1V0K1,630,4,0,0
78202,A0A4X1WCZ0,3535,3,0,0
78203,A0A4X1TEP3,1582,4,0,0
78204,I3LL55,517,1,0,1
78205,A0A4X1V6T3,410,3,0,0
78206,F1S421,405,3,0,1
78207,A0A4X1SX93,1536,3,0,0
78208,A0A4X1U484,959,4,0,0
78209,A0A4X1WA50,249,3,0,0
78210,A0A4X1VH72,724,3,0,0
78211,A0A4X1UEY3,514,4,0,0
78212,A0A4X1W180,826,3,0,0
78213,A0A4X1U6G6,140,4,0,0
78214,A0A286ZVQ2,880,1,0,1
78215,I3LMG0,1011,3,0,1
78216,K7GNQ0,184,1,0,1
78217,A0A287B576,312,3,0,1
78218,F1RL60,317,3,0,1
78219,A0A287ALY1,695,4,0,1
78220,A0A287BS25,520,4,0,1
78221,A0A4X1U3W7,2447,3,0,0
78222,A0A4X1V7B9,312,3,0,0
78223,A0A287AK13,724,4,0,1
78224,A0A4X1TVA1,1038,4,0,0
78225,A0A4X1VZ57,1452,4,0,0
78226,F1S6X9,1599,3,0,1
78227,F1RSE1,200,1,0,1
78228,A0A5K1V5K7,674,3,0,1
78229,A0A4X1T2H1,958,4,0,0
78230,F1S8P1,429,1,0,1
78231,A0A287AFN0,476,4,0,1
78232,F1S8Q3,879,4,0,1
78233,A0A4X1V5S5,165,4,0,0
78234,A0A5G2Q7G4,159,4,0,1
78235,F1SU28,337,1,0,1
78236,A0A5G2R3I4,109,3,0,1
78237,A0A4X1UR22,2417,4,0,0
78238,A0A287BH76,1068,4,0,1
78239,A0A287BND3,1535,3,0,1
78240,A0A287AHX6,1186,3,0,1
78241,A0A287AN35,1787,1,0,1
78242,A0A4X1VMS0,1427,4,0,0
78243,A0A4X1UJX4,514,3,0,0
78244,A0A287A6Q3,501,1,0,1
78245,I3LBW6,454,1,0,1
78246,A0A287BBD3,1467,1,0,1
78247,A0A286ZWR6,978,1,0,1
78248,A0A5G2QLH3,631,4,0,1
78249,A0A287AU24,692,1,0,1
78250,A0A4X1UED0,218,3,0,0
78251,A0A287AFJ3,498,4,0,1
78252,A0A4X1UEL2,840,4,0,0
78253,A0A4X1UYR6,1005,4,0,0
78254,B8XSK5,524,2,0,0
78255,A0A4X1SLG9,291,3,0,0
78256,A0A5G2R626,260,4,0,1
78257,A0A286ZIH7,418,1,0,1
78258,A0A4X1T7Z5,667,3,0,0
78259,I3LCZ8,481,1,0,1
78260,A0A287AY26,307,1,0,1
78261,A0A4X1VI64,1163,4,0,0
78262,F1SU74,572,3,0,1
78263,C4R9I3,1037,4,0,0
78264,A0A5G2RDB9,762,4,0,1
78265,A0A4X1UL92,1129,4,0,0
78266,A0A4X1VRW4,317,4,0,0
78267,A0A4X1VKR8,653,4,0,0
78268,F6PZW3,401,3,0,1
78269,A0A4X1SK69,1299,4,0,0
78270,A0A5G2QUU7,227,1,0,1
78271,A0A5G2RNA1,193,3,0,1
78272,K7GLB7,952,4,0,1
78273,I3LQG1,238,1,0,1
78274,F1SUD8,163,1,0,1
78275,A0A4X1T856,281,3,0,0
78276,A0A4X1UN23,1447,3,0,0
78277,A0A4X1VP50,524,3,0,0
78278,A0A4X1WBU7,173,4,0,0
78279,A0A4X1VN77,1875,3,0,0
78280,F1S4P7,413,1,0,1
78281,A0A5G2R1M5,480,1,0,1
78282,A0A4X1UDY7,224,4,0,0
78283,A0A4X1U026,1059,3,0,0
78284,I3LSF1,142,4,0,1
78285,A0A5G2QG78,312,3,0,1
78286,A0A5G2RDD8,1101,4,0,1
78287,F1S3C4,206,4,0,1
78288,A0A4X1V200,181,4,0,0
78289,A0A5S6HMA2,524,1,0,1
78290,A0A286ZLE1,386,3,0,1
78291,A0A5G2RHE2,349,4,0,1
78292,A0A4X1W794,155,4,0,0
78293,A0A287A2H7,667,3,0,1
78294,F1RNN0,190,1,0,1
78295,A0A286ZST1,1283,3,0,1
78296,F1SJ90,1748,4,0,1
78297,A0A4X1V1G9,501,4,0,0
78298,F1SUZ2,1753,1,0,1
78299,A0A4X1W6W8,414,4,0,0
78300,A0A4X1SWJ5,195,3,0,0
78301,A0A287BHT8,586,4,0,1
78302,A0A287AV18,708,4,0,1
78303,A0A287BFS0,905,1,0,1
78304,A0A5G2QBX9,203,3,0,1
78305,A0A4X1U979,785,3,0,0
78306,A0A286ZR05,452,1,0,1
78307,A0A5G2RDG2,753,4,0,1
78308,Q4U4Q3,535,4,0,0
78309,A0A4X1SME2,642,4,0,0
78310,F1RRF2,825,1,0,1
78311,A0A4X1V4Y3,145,4,0,0
78312,A8CVN6,274,2,0,0
78313,A0A4X1VTZ9,1664,4,0,0
78314,Q70HQ0,316,3,0,0
78315,A0A4X1VBQ9,967,4,0,0
78316,A0A4X1U0N8,355,4,0,0
78317,A0A4X1UCP4,323,3,0,0
78318,I3L7Q3,369,3,0,1
78319,A0A5G2RA38,128,4,0,1
78320,A0A4X1SMI0,278,3,0,0
78321,A0A286ZUT5,734,3,0,1
78322,F1S1V9,319,3,0,1
78323,A0A286ZQH2,111,4,0,1
78324,I3LBL9,780,4,0,1
78325,A0A287A525,260,4,0,1
78326,A0A4X1WE30,379,3,0,0
78327,A0A5G2QID2,62,4,0,1
78328,A0A287BQV8,515,4,0,1
78329,A0A4X1UTE1,452,4,0,0
78330,A0A287AKX9,855,4,0,1
78331,A0A4X1TX94,877,3,0,0
78332,I3LE07,257,4,0,1
78333,A0A4X1TT36,1193,4,0,0
78334,Q6S7D6,97,2,0,0
78335,A0A286ZTR8,302,3,0,1
78336,A0A4X1SHW7,567,4,0,0
78337,F1RF45,356,1,0,1
78338,A0A4X1SE92,1022,3,0,0
78339,A0A4X1V3I6,4632,3,0,0
78340,A0A4X1W9L5,483,3,0,0
78341,F1RYU4,311,1,0,1
78342,A0A287BPY8,790,4,0,1
78343,T1UPX5,1028,2,0,0
78344,F1SA75,427,1,0,1
78345,F1RN60,687,3,0,1
78346,F1RLL9,1712,1,0,1
78347,F1RQB3,307,3,0,1
78348,F1SSC4,459,4,0,1
78349,F1S849,853,3,0,1
78350,A0A4X1SG16,1181,4,0,0
78351,A0A4X1UE00,382,4,0,0
78352,F1RIX2,469,3,0,1
78353,A0A286ZKX8,143,4,0,1
78354,F1SGY9,275,4,0,1
78355,I3LEX8,667,1,0,1
78356,A0A4X1TQ96,480,3,0,0
78357,F1SM83,670,4,0,1
78358,I3LIA4,267,1,0,1
78359,A0A4X1VTL6,821,3,0,0
78360,Q5MG53,379,3,0,0
78361,I3LRQ2,1730,4,0,1
78362,A0A4X1SW91,381,3,0,0
78363,F1S6Z8,279,1,0,1
78364,F1SCY5,266,4,0,1
78365,A0A4X1UWC3,297,3,0,0
78366,A0A4X1UMX5,438,3,0,0
78367,A0A4X1VPK6,623,4,0,0
78368,A0A5G2QQW5,403,4,0,1
78369,A0A4X1VX41,1014,3,0,0
78370,A0A4X1W246,541,4,0,0
78371,A0A287ARA5,596,1,0,1
78372,J9JIK5,144,3,0,1
78373,A0A4X1VZN5,2757,3,0,0
78374,A0A4X1UIV6,224,4,0,0
78375,I3LGH6,746,1,0,1
78376,A0A286ZKT3,600,4,0,1
78377,F1SUW3,239,1,0,1
78378,A0A4X1VTL7,263,3,0,0
78379,A0A4X1WAE5,1964,4,0,0
78380,A0A286ZX23,1056,1,0,1
78381,F1RQW4,1246,1,0,1
78382,A0A4X1SJR8,868,4,0,0
78383,F1S1B9,396,1,0,1
78384,A0A4X1TZ49,398,3,0,0
78385,A0A4X1SQ92,1248,4,0,0
78386,F1RG34,350,1,0,1
78387,Q38PN9,111,3,0,0
78388,A0A5G2QJN0,1111,1,0,1
78389,F1S8A9,712,4,0,1
78390,A0A4X1UZA2,550,4,0,0
78391,F1RW16,436,3,0,1
78392,A0A287A057,226,4,0,1
78393,A0A5G2QX55,1633,1,0,1
78394,I3LMU6,335,1,0,1
78395,A0A4X1TB40,172,4,0,0
78396,A0A4X1SRV1,558,4,0,0
78397,A0A4X1U5I9,498,3,0,0
78398,Q1WMM6,139,3,0,0
78399,A0A4X1TF54,391,3,0,0
78400,A0A4X1SFM2,644,3,0,0
78401,A0A286ZX97,718,3,0,1
78402,A0A287AQJ4,979,1,0,1
78403,A0A287A291,657,1,0,1
78404,I3LQG6,230,3,0,1
78405,Q4Z8Q3,510,2,0,0
78406,A0A287AKI3,310,3,0,1
78407,A0A287A3J9,536,4,0,1
78408,A0A287BS64,1302,1,0,1
78409,A0A287AE28,774,1,0,1
78410,A0A4X1SKE1,260,4,0,0
78411,A0A5G2QYI3,501,3,0,1
78412,A0A5G2QFG9,935,3,0,1
78413,A0A287BEB7,446,3,0,1
78414,A0A4X1TSA7,261,4,0,0
78415,A0A4X1SSW0,965,4,0,0
78416,A0A4X1UTI8,466,4,0,0
78417,F1SC51,500,1,0,1
78418,A0A4X1TCA2,1549,4,0,0
78419,F1S4J0,482,1,0,1
78420,F1RUT0,246,4,0,1
78421,A0A4X1U567,1663,4,0,0
78422,F1RNM8,577,3,0,1
78423,A0A287B5I6,363,4,0,1
78424,A0A4X1UEQ3,273,3,0,0
78425,A0A4X1V391,646,4,0,0
78426,A0A287BME4,1143,4,0,1
78427,A0A287B5T0,299,3,0,1
78428,A0A4X1W9F6,348,4,0,0
78429,A0A4X1SRA1,1271,3,0,0
78430,A5GFZ8,101,4,0,0
78431,A0A5G2R1J0,101,4,0,1
78432,A0A4X1WBI3,356,4,0,0
78433,A0A286ZTC9,647,4,0,1
78434,F1SHC1,449,1,0,1
78435,A0A4X1W6X6,1264,3,0,0
78436,A0A5G2QXI8,236,3,0,1
78437,A0A5S8KKT9,301,1,0,1
78438,A0A5G2QXX1,1210,1,0,1
78439,F1SBC8,1078,1,0,1
78440,A0A287BCW9,699,3,0,1
78441,A0A4X1U5N4,1177,4,0,0
78442,F1SLW8,1457,3,0,1
78443,A0A4X1UFB1,577,4,0,0
78444,A0A4X1WBU4,3464,3,0,0
78445,A0A4X1UPN8,1147,4,0,0
78446,A0A4X1UZD6,1617,3,0,0
78447,F1RRU1,292,4,0,1
78448,A0A5G2R217,1028,3,0,1
78449,A0A5G2QPF5,333,4,0,1
78450,A0A5G2QAQ4,746,1,0,1
78451,A0A4X1UI33,259,3,0,0
78452,A0A5G2QNZ4,412,1,0,1
78453,A0A5G2QT84,347,4,0,1
78454,A0A4X1TX19,1302,4,0,0
78455,Q4R1H5,107,3,0,0
78456,A0A287BBI3,271,3,0,1
78457,A0A286ZSA4,275,4,0,1
78458,A0A4X1STE6,503,3,0,0
78459,A0A5G2QX96,323,1,0,1
78460,I3LUJ5,355,3,0,1
78461,I3LC21,2288,3,0,1
78462,F1S734,430,4,0,1
78463,A0A4X1U0W5,561,3,0,0
78464,L7WL45,364,2,0,0
78465,A0A287AUU2,760,4,0,1
78466,A0A4X1T6B5,618,3,0,0
78467,A0A4X1SDS7,777,4,0,0
78468,F1STN2,573,3,0,1
78469,F1RUR7,705,1,0,1
78470,A0A4X1U9P0,348,4,0,0
78471,A0A4X1TPQ4,353,3,0,0
78472,F1SMB6,186,4,0,1
78473,A0A4X1VUE7,2741,4,0,0
78474,A0A5G2QIF0,333,1,0,1
78475,A0A5G2RLR3,642,4,0,1
78476,A0A5G2QNQ8,311,1,0,1
78477,A0A4X1SJQ6,1280,4,0,0
78478,A0A4X1UYL5,1493,4,0,0
78479,A0A4X1TK75,884,3,0,0
78480,A0A5G2R2Y1,233,1,0,1
78481,A0A4X1TDP3,1335,3,0,0
78482,A0A4X1U408,300,3,0,0
78483,A0A4X1SVG7,630,4,0,0
78484,A0A4X1UH81,516,4,0,0
78485,A0A4X1VNB1,1107,3,0,0
78486,F1S6D6,828,3,0,1
78487,A0A4X1W9D3,358,4,0,0
78488,A0A5G2QIM9,836,1,0,1
78489,A0A4X1VXH2,2006,3,0,0
78490,F1RVX9,560,1,0,1
78491,A0A4X1T4H6,457,3,0,0
78492,A0A4X1TZA9,606,3,0,0
78493,I3LAA0,289,3,0,1
78494,A0A4X1SE56,644,3,0,0
78495,A0A287B900,309,1,0,1
78496,A0A287ACN5,218,4,0,1
78497,A0A4X1VGX4,432,3,0,0
78498,B2ZFP1,285,2,0,0
78499,A0A4X1TGC6,934,3,0,0
78500,A0A4X1UUS6,543,3,0,0
78501,A0A4X1UW20,1731,4,0,0
78502,I3L7I6,673,3,0,1
78503,A0A4X1VTV7,1500,4,0,0
78504,A0A4X1V392,1155,4,0,0
78505,I3LAK6,1227,3,0,1
78506,A0A4X1UJZ0,502,3,0,0
78507,A0A287AH93,1035,1,0,1
78508,A0A5G2QHP0,254,4,0,1
78509,A0A2Z2YPW6,2807,2,0,0
78510,A0A4X1SWV5,422,3,0,0
78511,A0A4X1URG6,238,3,0,0
78512,A0A4X1TEK4,326,4,0,0
78513,A0A287A5A0,1139,3,0,1
78514,A0A287AY20,313,3,0,1
78515,B7STY8,930,2,0,0
78516,A0A5G2QAR5,517,1,0,1
78517,A0A4X1UF47,296,3,0,0
78518,A0A5K1V2H7,979,2,0,0
78519,F1SBW6,771,3,0,1
78520,K9LQ69,361,2,0,0
78521,A0A4X1U6Y8,505,3,0,0
78522,A0A4X1VPH7,689,3,0,0
78523,A6P371,21,4,0,0
78524,A0A5G2QSI3,445,4,0,1
78525,A0A287BR17,1614,1,0,1
78526,A0A4X1U1H7,413,4,0,0
78527,I3LE77,196,4,0,1
78528,A0A287AZS3,223,4,0,1
78529,A0A4X1W4B1,3043,3,0,0
78530,A0A5G2R735,187,4,0,1
78531,F1RFQ0,591,4,0,1
78532,A0A4X1TPG6,2654,3,0,0
78533,A0A4X1V3D1,683,4,0,0
78534,A0A4X1TCX4,1797,3,0,0
78535,A0A5G2R790,506,1,0,1
78536,A0A287AQX1,986,4,0,1
78537,A0A4X1V6M9,1571,4,0,0
78538,A0A4X1U3C0,424,3,0,0
78539,A0A4X1UHN0,1244,3,0,0
